Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
Fluoroisobutyryl Fentanyl;OZDOSQNUJIXEOR-UHFFFAOYSA-N;CC(C)C(N(C1=CC=C(F)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.88;CFSRE;Opioids;6.72;6.83;6.89;6.93;6.84;6.84;0.08;-0.04;Train;± 0.5 min
Flurazepam;SAADBVWGJQAEFS-UHFFFAOYSA-N;ClC=1C=CC2=C(C(=NCC(N2CCN(CC)CC)=O)C2=C(C=CC=C2)F)C1;6.41;CFSRE;Benzodiazepines;6.45;6.31;6.64;6.45;6.41;6.45;0.12;0.04;Train;± 0.5 min
Flutoprazepam;OFVXPDXXVSGEPX-UHFFFAOYSA-N;ClC=1C=CC2=C(C(=NCC(N2CC2CC2)=O)C2=C(C=CC=C2)F)C1;9.04;CFSRE;Benzodiazepines;8.27;8.18;8.72;8.47;8.36;8.40;0.21;-0.64;Validation;-1 to -0.5 min
Furanyl Fentanyl;FZJVHWISUGFFQV-UHFFFAOYSA-N;C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1;6.3;CFSRE;Opioids;6.30;6.49;6.40;6.35;6.31;6.37;0.08;0.07;Train;± 0.5 min
Furanyl UF-17;OSFBKUBOZUWERW-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2C(N(C)C)CCCC2)C3=CC=CC=C3;5.74;CFSRE;Opioids;5.81;5.92;6.00;5.94;5.80;5.89;0.08;0.15;Validation;± 0.5 min
Furanyl norfentanyl;DDSUGTXSJFAMIM-UHFFFAOYSA-N;C1(=CC=CC=C1)N(C(=O)C=1OC=CC1)C1CCNCC1;4.81;CFSRE;Opioids;4.47;4.65;4.70;4.69;4.62;4.63;0.09;-0.18;Train;± 0.5 min
Furanylethylfentanyl;AFTQVAQNGJXATO-UHFFFAOYSA-N;CCC(N(C1CCN(CCC2=CC=CO2)CC1)C3=CC=CC=C3)=O;5.75;CFSRE;Opioids;5.15;5.59;5.54;5.29;5.33;5.38;0.18;-0.37;Test;± 0.5 min
HU-210;SSQJFGMEZBFMNV-UHFFFAOYSA-N;OC1=CC(C(CCCCCC)(C)C)=CC2=C1[C@@](CC(CO)=CC3)([H])[C@]3([H])C(C)(C)O2;10.95;CFSRE;Cannabinoids;10.19;9.96;9.98;9.98;10.08;10.04;0.10;-0.91;Test;-1 to -0.5 min
HU-308;CFMRIVODIXTERW-BHIFYINESA-N;OCC1=C[C@@H](C2=C(OC)C=C(C(CCCCCC)(C)C)C=C2OC)[C@@]3([H])C[C@]1([H])C3(C)C;11.93;CFSRE;Cannabinoids;10.46;10.50;10.49;11.03;10.57;10.61;0.24;-1.32;Test;-2 to -1 min
HU-331;WDXXEUARVHTWQF-DLBZAZTESA-N;O=C(C(CCCCC)=C1)C(O)=C([C@@H]2C=C(C)CCC2C(C)=C)C1=O;10.82;CFSRE;Cannabinoids;9.99;9.59;10.13;9.98;10.02;9.94;0.20;-0.88;Optimization;-1 to -0.5 min
Hexanoyl Fentanyl;PWKBFVCAQVONRR-UHFFFAOYSA-N;CCCCCC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O;7.75;CFSRE;Opioids;7.36;7.32;7.39;7.54;7.40;7.40;0.08;-0.35;Train;± 0.5 min
Hexedrone;BHIZKPHLTVLXIV-UHFFFAOYSA-N;CCCCC(NC)C(C1=CC=CC=C1)=O;5.63;CFSRE;Cathinones;5.28;5.42;5.66;5.61;5.28;5.45;0.18;-0.18;Test;± 0.5 min
Hydrocodone;LLPOLZWFYMWNKH-CMKMFDCUSA-N;CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4;3.92;CFSRE;Opioids;4.09;3.90;3.95;3.96;4.11;4.00;0.09;0.08;Validation;± 0.5 min
Hydromorphone;WVLOADHCBXTIJK-YNHQPCIGSA-N;[H][C@@]12OC3=C(O)C=CC4=C3[C@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O;2.61;CFSRE;Opioids;3.77;3.65;3.54;3.74;3.90;3.72;0.13;1.11;Optimization;1 to 2 min
Hydroxy-THC;YCBKSSAWEUDACY-UHFFFAOYSA-N;CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)CO)O;9.86;CFSRE;Cannabinoids;9.64;9.29;9.73;9.62;9.60;9.58;0.17;-0.28;Train;± 0.5 min
Hydroxybupropion;AKOAEVOSDHIVFX-UHFFFAOYSA-N;CC(NC(C)(C)CO)C(=O)C1=CC(Cl)=CC=C1;5.07;CFSRE;Cathinones;4.55;4.57;4.65;4.65;4.24;4.53;0.17;-0.54;Optimization;-1 to -0.5 min
Hydroxytriazolam;BHUYWUDMVCLHND-UHFFFAOYSA-N;C1C2=NN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4Cl)CO;7.02;CFSRE;Benzodiazepines;6.83;6.74;7.07;6.97;6.83;6.89;0.13;-0.13;Test;± 0.5 min
Isobutyl-PINAC;VVICSADAODYLRT-UHFFFAOYSA-N;CCCCCn1nc(C(=O)OCC(C)C)c2ccccc21;10.5;CFSRE;Cannabinoids;9.76;9.98;10.60;9.60;10.16;10.02;0.39;-0.48;Train;± 0.5 min
Isobutyryl Fentanyl;WRPFPNIHTOSMKU-UHFFFAOYSA-N;CC(C)C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.66;CFSRE;Opioids;6.59;6.73;6.78;6.82;6.72;6.73;0.09;0.07;Validation;± 0.5 min
Isopropyl-U-47700;LGYQSYWASFBSHJ-UHFFFAOYSA-N;ClC=1C=C(C(=O)N(C(C)C)C2C(CCCC2)N(C)C)C=CC1Cl;7.19;CFSRE;Opioids;6.69;6.76;6.80;6.84;6.76;6.77;0.06;-0.42;Optimization;± 0.5 min
Isopropylphenidate;AZVPADMEIMLODT-UHFFFAOYSA-N;C1(=CC=CC=C1)C(C(=O)OC(C)C)C2CCCCN2;6.22;CFSRE;Piperidines & pyrrolidines;5.75;5.91;5.92;5.99;6.01;5.92;0.10;-0.30;Optimization;± 0.5 min
Isotonitazene;OIOQREYBGDAYGT-UHFFFAOYSA-N;C(C)N(CCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)OC(C)C)CC;7.02;CFSRE;Opioids;7.12;6.93;7.23;6.97;7.08;7.07;0.12;0.05;Validation;± 0.5 min
JWH-007;IBBNKINXTRKICJ-UHFFFAOYSA-N;CC=1N(C2=CC=CC=C2C1C(=O)C1=CC=CC2=CC=CC=C12)CCCCC;10.47;CFSRE;Cannabinoids;10.40;10.14;10.45;10.38;10.19;10.31;0.14;-0.16;Optimization;± 0.5 min
JWH-011;HVIWIQFCDXFBDK-UHFFFAOYSA-N;CCCCCC(C)N1C(C)=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12;10.97;CFSRE;Cannabinoids;11.08;10.77;10.94;11.00;10.84;10.93;0.12;-0.04;Optimization;± 0.5 min
JWH-015;LJSBBBWQTLXQEN-UHFFFAOYSA-N;O=C(C1=C(C)N(CCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3;9.74;CFSRE;Cannabinoids;10.01;9.77;10.37;10.10;10.02;10.05;0.21;0.31;Train;± 0.5 min
JWH-016;QKXRHYJSCZFHEK-UHFFFAOYSA-N;O=C(C1=C(C)N(CCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3;10.24;CFSRE;Cannabinoids;10.21;9.94;10.36;10.18;10.08;10.15;0.16;-0.09;Validation;± 0.5 min
JWH-018;JDNLPKCAXICMBW-UHFFFAOYSA-N;CCCCCN1C=C(C(C2=C3C=CC=CC3=CC=C2)=O)C4=C1C=CC=C4;10.35;CFSRE;Cannabinoids;10.39;10.10;10.59;10.41;10.27;10.35;0.18;0.00;Train;± 0.5 min
JWH-018 6-Methoxyindole Analogue;LQWPINYSBSBWIN-UHFFFAOYSA-N;CCCCCN1C2=CC(OC)=CC=C2C(C(C3=CC=CC4=C3C=CC=C4)=O)=C1;10.39;CFSRE;Cannabinoids;10.37;10.16;10.54;10.36;10.28;10.34;0.14;-0.05;Train;± 0.5 min
JWH-018 8-Quinolinyl Carboxamide;LSDZETPTKCENTH-UHFFFAOYSA-N;CCCCCN1C=C(C(O)=NC2=CC=CC3=C2N=CC=C3)C2=CC=CC=C12;10.83;CFSRE;Cannabinoids;10.02;9.81;10.33;10.05;9.95;10.03;0.19;-0.80;Optimization;-1 to -0.5 min
JWH-018 Benzimidazole Analogue;ZJWSSWFQIOEVCU-UHFFFAOYSA-N;O=C(C1=C(C=CC=C2)C2=CC=C1)C3=NC4=C(C=CC=C4)N3CCCCC;10.55;CFSRE;Cannabinoids;10.09;9.89;10.51;10.27;10.14;10.18;0.23;-0.37;Train;± 0.5 min
JWH-018 N-(1,1-Dimethylpropyl) Isomer;RAHXKESFWHOCTB-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(C(C)(C)CC)C4=C3C=CC=C4;10.17;CFSRE;Cannabinoids;10.25;9.97;10.41;10.23;10.11;10.19;0.16;0.02;Train;± 0.5 min
JWH-018 N-(4,5-Epoxypentyl) Analogue;WWVMNUMWFUXVSG-UHFFFAOYSA-N;O=C(C1=CN(CCCC2OC2)C3=C1C=CC=C3)C4=C5C(C=CC=C5)=CC=C4;9.12;CFSRE;Cannabinoids;9.71;9.73;9.97;9.48;9.88;9.75;0.19;0.63;Train;0.5 to 1 min
JWH-018 N-(5-Bromopentyl) Analogue;QDWNXDILPHVKLY-UHFFFAOYSA-N;O=C(C1=CC=CC2=C1C=CC=C2)C3=CN(CCCCCBr)C4=CC=CC=C43;10.21;CFSRE;Cannabinoids;10.42;10.23;10.62;10.46;10.24;10.39;0.16;0.18;Train;± 0.5 min
JWH-018 N-(5-Chloropentyl) Analogue;NZQRTHJPVKPTBV-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCl)C2=C1C=CC=C2)C3=C4C(C=CC=C4)=CC=C3;10.09;CFSRE;Cannabinoids;10.30;10.08;10.49;10.30;10.11;10.26;0.16;0.17;Validation;± 0.5 min
JWH-018 N-Pentanoic Acid;BYIVGHIYNFQIJX-UHFFFAOYSA-N;C1(=CC=CC2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCCC(=O)O;8.76;CFSRE;Cannabinoids;9.67;9.42;9.41;9.42;9.63;9.51;0.13;0.75;Train;0.5 to 1 min
JWH-019;PALJPGHWDUHUPO-UHFFFAOYSA-N;O=C(C1=CN(CCCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3;10.66;CFSRE;Cannabinoids;10.58;10.32;10.64;10.59;10.41;10.51;0.13;-0.15;Train;± 0.5 min
JWH-020;IHKDUDCDUKFOKK-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3;10.96;CFSRE;Cannabinoids;10.85;10.56;10.87;10.85;10.67;10.76;0.14;-0.20;Test;± 0.5 min
JWH-022;IVVCMEGHVSDGFJ-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCCC=C)C4=C3C=CC=C4;10.12;CFSRE;Cannabinoids;10.18;9.92;10.34;10.16;10.09;10.14;0.15;0.02;Train;± 0.5 min
JWH-030;VPBJQDBKZSHCPC-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCCCC)C=C3;9.83;CFSRE;Cannabinoids;10.03;9.74;10.25;9.60;9.67;9.86;0.28;0.03;Train;± 0.5 min
JWH-031;QTWPXDHMBKIWDK-UHFFFAOYSA-N;CCCCCCN1C=CC(=C1)C(=O)C1=CC=CC2=CC=CC=C12;10.22;CFSRE;Cannabinoids;10.33;10.05;10.56;9.91;10.04;10.18;0.26;-0.04;Test;± 0.5 min
JWH-071;DFUBISUWTFPBFB-UHFFFAOYSA-N;CCn1cc(-c2ccc3ccccc3c2C=O)c2ccccc21;9.33;CFSRE;Cannabinoids;9.58;9.61;9.97;9.75;9.53;9.69;0.18;0.36;Validation;± 0.5 min
JWH-072;IVLWWVXVWRIXSS-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCC)C4=C3C=CC=C4;9.59;CFSRE;Cannabinoids;9.93;9.75;10.40;10.12;9.97;10.04;0.24;0.45;Test;± 0.5 min
JWH-073;VCHHHSMPMLNVGS-UHFFFAOYSA-N;CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43;10;CFSRE;Cannabinoids;10.20;9.91;10.58;10.29;10.20;10.24;0.24;0.24;Validation;± 0.5 min
JWH-073 2-Methylnaphthyl Analogue;DRPAIIWSIJRPFH-UHFFFAOYSA-N;CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=C(C=CC4=CC=CC=C43)C;10.18;CFSRE;Cannabinoids;10.46;10.14;10.68;10.50;10.36;10.43;0.20;0.25;Validation;± 0.5 min
JWH-073 6-Methoxyindole Analogue;YFQNBXNHANIAJR-UHFFFAOYSA-N;O=C(C1=CN(CCCC)C2=C1C=CC(OC)=C2)C3=CC=CC4=C3C=CC=C4;10.07;CFSRE;Cannabinoids;10.20;10.00;10.31;10.19;10.12;10.16;0.11;0.09;Validation;± 0.5 min
JWH-080;PGOAKRPGOLHODL-UHFFFAOYSA-N;O=C(C1=CN(CCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=C(OC)C=C3;10.28;CFSRE;Cannabinoids;10.20;10.00;10.31;10.19;10.12;10.16;0.11;-0.12;Test;± 0.5 min
JWH-081;UBMPKJKGUQDHRM-UHFFFAOYSA-N;COC1=CC=C(C2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCCC;10.49;CFSRE;Cannabinoids;10.37;10.16;10.54;10.36;10.28;10.34;0.14;-0.15;Train;± 0.5 min
JWH-081 N-(Cyclohexylmethyl) Analogue;LMENRXZOUBANKQ-UHFFFAOYSA-N;O=C(C1=CN(CC2CCCCC2)C3=C1C=CC=C3)C4=C5C=CC=CC5=C(OC)C=C4;10.94;CFSRE;Cannabinoids;10.54;10.53;11.25;10.84;10.59;10.75;0.31;-0.19;Optimization;± 0.5 min
JWH-098;CNTCHEBQQFICNR-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(OC)C=C1)C3=C(C)N(CCCCC)C4=C3C=CC=C4;10.6;CFSRE;Cannabinoids;10.46;10.19;10.81;10.47;10.39;10.46;0.22;-0.14;Train;± 0.5 min
JWH-116;AQHPTHKEKSWGPO-UHFFFAOYSA-N;CCCCCn1c(CC)c(C(=O)c2cccc3ccccc23)c2ccccc21;10.84;CFSRE;Cannabinoids;10.72;10.41;10.77;10.72;10.53;10.63;0.16;-0.21;Train;± 0.5 min
JWH-122;HUKJQMKQFWYIHS-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(C)C=C1)C3=CN(CCCCC)C4=C3C=CC=C4;10.62;CFSRE;Cannabinoids;10.64;10.36;10.71;10.66;10.49;10.57;0.14;-0.05;Train;± 0.5 min
JWH-122 N-(4-Pentenyl) Analogue;FJRCMNJZLRNCND-UHFFFAOYSA-N;CC1=CC=C(C2=CC=CC=C12)C(=O)C3=CN(C4=CC=CC=C43)CCCC=C;10.41;CFSRE;Cannabinoids;10.44;10.16;10.49;10.41;10.27;10.35;0.14;-0.06;Train;± 0.5 min
JWH-133;YSBFLLZNALVODA-RBUKOAKNSA-N;[H][C@@]12CC(C)=CC[C@@]1([H])C(C)(C)OC1=C2C=CC(=C1)C(C)(C)CCC;12.33;CFSRE;Cannabinoids;10.50;10.36;10.93;10.86;10.41;10.61;0.27;-1.72;Validation;-2 to -1 min
JWH-145;JLXYYSHMURZHKI-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CN(CCCCC)C(C4=CC=CC=C4)=C3;10.79;CFSRE;Cannabinoids;10.60;10.30;10.64;10.58;10.38;10.50;0.15;-0.29;Train;± 0.5 min
JWH-146;JDBFNFBWXVCTSA-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCC)C(C2=CC=CC=C2)=C1)C3=C4C=CC=CC4=CC=C3;11.32;CFSRE;Cannabinoids;11.34;10.95;11.21;11.40;11.11;11.20;0.18;-0.12;Train;± 0.5 min
JWH-147;FRMYAMAGHYHNKF-UHFFFAOYSA-N;O=C(C1=CN(CCCCCC)C(C2=CC=CC=C2)=C1)C3=C4C=CC=CC4=CC=C3;10.97;CFSRE;Cannabinoids;10.93;10.57;10.89;10.88;10.68;10.79;0.16;-0.18;Validation;± 0.5 min
JWH-149;JTJAMXUOXJGSCW-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(C)C=C1)C3=C(C)N(CCCCC)C4=C3C=CC=C4;10.82;CFSRE;Cannabinoids;10.71;10.41;10.75;10.72;10.51;10.62;0.15;-0.20;Train;± 0.5 min
JWH-167;AMCPOEOUXQWESI-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=CC=C2)=O)C3=C1C=CC=C3;9.95;CFSRE;Cannabinoids;9.89;9.73;10.25;9.83;9.75;9.89;0.21;-0.06;Train;± 0.5 min
JWH-175;TYBRSILIYTUTSQ-UHFFFAOYSA-N;CCCCCN1C=C(CC2=CC=CC3=CC=CC=C23)C2=CC=CC=C12;11.34;CFSRE;Cannabinoids;11.40;11.17;11.62;11.65;11.42;11.45;0.19;0.11;Train;± 0.5 min
JWH-176;FPESBQVTVSBBSE-XLNRJJMWSA-N;[H]\C(=C1/C=C(CCCCC)C2=CC=CC=C12)C1=CC=CC2=CC=CC=C12;12.32;CFSRE;Cannabinoids;11.71;11.54;11.97;12.02;11.65;11.78;0.21;-0.54;Train;-1 to -0.5 min
JWH-180;BMOMWXXAVVSIRU-UHFFFAOYSA-N;O=C(C1=CN(CCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=C(CCC)C=C3;10.63;CFSRE;Cannabinoids;10.66;10.36;10.74;10.67;10.52;10.59;0.15;-0.04;Train;± 0.5 min
JWH-182;AKGUMDFQXWZHHS-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)C3=C4C=CC=CC4=C(CCC)C=C3;11.18;CFSRE;Cannabinoids;11.23;10.88;11.24;11.23;11.07;11.13;0.16;-0.05;Train;± 0.5 min
JWH-193;ICKWPPYMDARCKJ-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(C)C=C1)C3=CN(CCN4CCOCC4)C5=C3C=CC=C5;7.95;CFSRE;Cannabinoids;7.99;7.73;8.15;8.13;8.02;8.00;0.17;0.05;Train;± 0.5 min
JWH-198;QWHSUXWDDKWTOG-UHFFFAOYSA-N;O=C(C1=CN(CCN2CCOCC2)C3=C1C=CC=C3)C4=C5C=CC=CC5=C(OC)C=C4;7.81;CFSRE;Cannabinoids;9.02;8.61;9.17;8.71;8.84;8.87;0.23;1.06;Optimization;1 to 2 min
JWH-200;SZWYXJHTNGJPKU-UHFFFAOYSA-N;O=C(C1=CC=CC2=C1C=CC=C2)C3=CN(C4=C3C=CC=C4)CCN5CCOCC5;7.42;CFSRE;Cannabinoids;7.82;7.38;7.91;7.71;7.89;7.74;0.21;0.32;Test;± 0.5 min
JWH-200 Analogue;MBMNSYXHFHEPMX-BMRADRMJSA-N;O=C(/C=C(C(C)(C)C)\C)C1=CN(CCN2CCOCC2)C3=CC=CC=C31;7.82;CFSRE;Cannabinoids;7.90;7.62;7.81;7.57;7.95;7.77;0.17;-0.05;Train;± 0.5 min
JWH-201;KQRKUKYSZPHOKC-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=C(OC)C=C2)=O)C3=C1C=CC=C3;9.89;CFSRE;Cannabinoids;10.00;9.77;10.24;10.23;9.95;10.04;0.20;0.15;Train;± 0.5 min
JWH-203;YDINKDBAZJOSLV-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=CC=C2Cl)=O)C3=C1C=CC=C3;10.27;CFSRE;Cannabinoids;10.40;10.18;10.75;10.31;10.34;10.40;0.22;0.13;Test;± 0.5 min
JWH-210;LACIUQLUNACUKC-UHFFFAOYSA-N;C(C)C1=CC=C(C2=CC=CC=C12)C(=O)C1=CN(C2=CC=CC=C12)CCCCC;10.85;CFSRE;Cannabinoids;10.90;10.56;10.97;10.92;10.75;10.82;0.17;-0.03;Train;± 0.5 min
JWH-213;JAVDQKMSPNBPCK-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(CC)C=C1)C3=C(C)N(CCCCC)C4=C3C=CC=C4;11.05;CFSRE;Cannabinoids;11.04;10.67;11.03;11.01;10.82;10.91;0.16;-0.14;Test;± 0.5 min
JWH-249;CGQRVOHECAULLB-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=CC=C2Br)=O)C3=C1C=CC=C3;10.35;CFSRE;Cannabinoids;10.53;10.28;10.85;10.45;10.46;10.52;0.21;0.17;Train;± 0.5 min
JWH-250;FFLSJIQJQKDDCM-UHFFFAOYSA-N;C(CCCC)N1C=C(C2=CC=CC=C12)C(CC1=C(C=CC=C1)OC)=O;9.93;CFSRE;Cannabinoids;10.00;9.77;10.24;10.23;9.95;10.04;0.20;0.11;Optimization;± 0.5 min
JWH-251;YBIPNGRKUAVSBG-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=CC=C2C)=O)C3=C1C=CC=C3;10.14;CFSRE;Cannabinoids;10.25;9.96;10.61;10.15;10.19;10.23;0.24;0.09;Train;± 0.5 min
JWH-302;XZVYWLVYUAQEIM-UHFFFAOYSA-N;CCCCCN1C=C(C(CC2=CC=CC(OC)=C2)=O)C3=C1C=CC=C3;9.92;CFSRE;Cannabinoids;10.00;9.77;10.24;10.23;9.95;10.04;0.20;0.12;Train;± 0.5 min
JWH-307;WYNZPDDTQGVCLZ-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C(C2=CC=CC=C2F)=C1)C3=C4C=CC=CC4=CC=C3;10.61;CFSRE;Cannabinoids;10.70;10.40;10.73;10.70;10.49;10.60;0.15;-0.01;Optimization;± 0.5 min
JWH-309;WVISOUYKTUUDFW-UHFFFAOYSA-N;CCCCCN1C(C2=C3C=CC=CC3=CC=C2)=CC(C(C4=C5C=CC=CC5=CC=C4)=O)=C1;11.24;CFSRE;Cannabinoids;11.54;11.10;11.41;11.89;11.49;11.48;0.28;0.24;Train;± 0.5 min
JWH-368;OCOICOMCAJNSCA-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C(C2=CC=CC(F)=C2)=C1)C3=C4C=CC=CC4=CC=C3;10.8;CFSRE;Cannabinoids;10.70;10.40;10.73;10.70;10.49;10.60;0.15;-0.20;Train;± 0.5 min
JWH-369;SUELCWQJMQQCTF-UHFFFAOYSA-N;CCCCCN1C(C2=CC=CC=C2Cl)=CC(C(C3=C4C=CC=CC4=CC=C3)=O)=C1;10.92;CFSRE;Cannabinoids;11.13;10.90;11.06;11.13;11.01;11.05;0.10;0.13;Train;± 0.5 min
JWH-370;HZMLAMXVETUEJZ-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C(C2=CC=CC=C2C)=C1)C3=C4C=CC=CC4=CC=C3;9.92;CFSRE;Cannabinoids;10.96;10.60;10.96;10.92;10.72;10.83;0.16;0.91;Train;0.5 to 1 min
JWH-387;GRWSWDKSCZKGSY-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(Br)C=C1)C3=CN(CCCCC)C4=C3C=CC=C4;11.02;CFSRE;Cannabinoids;10.91;10.77;11.10;11.16;10.85;10.96;0.17;-0.06;Train;± 0.5 min
JWH-398;IUWBHGFOHXVVKV-UHFFFAOYSA-N;CCCCCN1C2=C(C=CC=C2)C(C(C3=CC=C(Cl)C4=C3C=CC=C4)=O)=C1;10.94;CFSRE;Cannabinoids;10.79;10.62;10.97;10.97;10.67;10.80;0.16;-0.14;Validation;± 0.5 min
JWH-412;HDWMKVHXWFNFQW-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(F)C=C1)C3=CN(CCCCC)C4=C3C=CC=C4;10.64;CFSRE;Cannabinoids;10.48;10.21;10.70;10.54;10.35;10.46;0.19;-0.18;Train;± 0.5 min
JWH-424;QXZYVJRMQVOOEQ-UHFFFAOYSA-N;O=C(C1=C2C(Br)=CC=CC2=CC=C1)C3=CN(CCCCC)C4=C3C=CC=C4;10.33;CFSRE;Cannabinoids;10.91;10.77;11.10;11.16;10.85;10.96;0.17;0.63;Train;0.5 to 1 min
Ketamine;YQEZLKZALYSWHR-UHFFFAOYSA-N;ClC1=C(C=CC=C1)C1(C(CCCC1)=O)NC;4.54;CFSRE;Arylcyclohexylamines;4.69;4.58;4.62;4.59;4.57;4.61;0.05;0.07;Train;± 0.5 min
LSD;VAYOSLLFUXYJDT-RDTXWAMCSA-N;C(C)N(C(=O)[C@@H]1C=C2C=3C=CC=C4NC=C(C[C@H]2N(C1)C)C34)CC;5.62;CFSRE;Indolalkylamines;5.06;5.63;5.12;5.05;5.27;5.22;0.24;-0.40;Validation;± 0.5 min
Lacosamide;VPPJLAIAVCUEMN-GFCCVEGCSA-N;[H][C@](COC)(N=C(C)O)C(O)=NCC1=CC=CC=C1;4.84;CFSRE;Unknown;5.64;5.20;5.50;5.30;5.86;5.50;0.27;0.66;Optimization;0.5 to 1 min
Levorphanol;JAQUASYNZVUNQP-USXIJHARSA-N;[H][C@@]12CC3=C(C=C(O)C=C3)[C@@]3(CCCC[C@@]13[H])CCN2C;4.86;CFSRE;Unknown;5.82;5.71;5.78;5.87;6.05;5.85;0.13;0.99;Train;0.5 to 1 min
Lisdexamphetamine;VOBHXZCDAVEXEY-JSGCOSHPSA-N;N[C@H](C(=O)N[C@H](CC1=CC=CC=C1)C)CCCCN;3.22;CFSRE;Phenethylamines;-0.18;0.38;1.57;0.56;1.89;0.84;0.86;-2.38;Optimization;< -2min
Lorazepam;DIWRORZWFLOCLC-UHFFFAOYSA-N;ClC=1C=CC2=C(C(=NC(C(N2)=O)O)C2=C(C=CC=C2)Cl)C1;7.28;CFSRE;Benzodiazepines;7.00;7.30;7.35;7.28;7.29;7.24;0.14;-0.04;Test;± 0.5 min
M-144;SVBIXYNVVDXJGW-UHFFFAOYSA-N;O=C(C1=C(C)N(CCCCCF)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.61;CFSRE;Cannabinoids;9.63;9.55;10.04;9.83;9.60;9.73;0.20;-0.88;Validation;-1 to -0.5 min
MA-CHMINACA;CRGGXDSTBHQLKJ-UHFFFAOYSA-N;CC(C)[C@H](NC(C1=NN(CC2CCCCC2)C3=C1C=CC=C3)=O)C(OC)=O;10.41;CFSRE;Cannabinoids;9.70;9.69;9.81;9.73;9.66;9.72;0.06;-0.69;Train;-1 to -0.5 min
MAB-CHMINACA;ZWCCSIUBHCZKOY-GOSISDBHSA-N;O=C(C1=NN(CC2CCCCC2)C3=C1C=CC=C3)NC(C(C)(C)C)C(N)=O;9.79;CFSRE;Cannabinoids;8.94;9.08;9.10;8.93;9.01;9.01;0.08;-0.78;Validation;-1 to -0.5 min
MAB-CHMINACA 3,3-Dimethylbutanoic Acid;HWEQMPAYSNTICF-WTNGLUPJSA-N;CC(C)(C)[C@H](NC(C1=NN(CC2CCC(O)CC2)C3=C1C=CC=C3)=O)C(O)=O;10.19;CFSRE;Cannabinoids;7.81;8.16;7.95;8.20;8.45;8.11;0.25;-2.08;Test;< -2min
