Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
Despropionyl 2'-Fluoro ortho-Fluorofentanyl;UBBYFFKICFYDHU-UHFFFAOYSA-N;FC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3F)CC2;6.58;CFSRE;Opioids;6.33;6.46;6.79;6.71;6.74;6.61;0.20;0.03;Test;± 0.5 min
Despropionyl 3-Methylfentanyl;JQELYMOBBRDROY-UHFFFAOYSA-N;CC1CN(CCC2=CC=CC=C2)CCC1NC3=CC=CC=C3;6.76;CFSRE;Opioids;6.34;6.50;6.76;6.68;6.68;6.59;0.17;-0.17;Train;± 0.5 min
Despropionyl ortho-Fluorofentanyl;WUNLGTOLOUTCPE-UHFFFAOYSA-N;FC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3)CC2;6.46;CFSRE;Opioids;6.27;6.41;6.68;6.58;6.67;6.52;0.18;0.06;Test;± 0.5 min
Despropionyl ortho-Methylfentanyl;UQFMMFWGILFTGJ-UHFFFAOYSA-N;CC1=CC=CC=C1NC2CCN(CCC3=CC=CC=C3)CC2;6.72;CFSRE;Opioids;6.40;6.54;6.83;6.76;6.73;6.65;0.18;-0.07;Train;± 0.5 min
Despropionyl para-Fluorobenzylfentanyl;GCHCRHBAGFHFMV-UHFFFAOYSA-N;FC1=CC=C(NC2CCN(CC3=CC=CC=C3)CC2)C=C1;6.11;CFSRE;Opioids;5.73;6.09;6.19;6.12;6.43;6.11;0.25;0.00;Train;± 0.5 min
Dextromethorphan;MKXZASYAUGDDCJ-NJAFHUGGSA-N;[H][C@]12CC3=C(C=C(OC)C=C3)[C@]3(CCCC[C@]13[H])CCN2C;6.24;CFSRE;Unknown;6.03;5.88;6.24;6.10;6.24;6.10;0.15;-0.14;Optimization;± 0.5 min
Diacetylmorphine;GVGLGOZIDCSQPN-PVHGPHFFSA-N;CC(OC1=C(O[C@@H]2[C@]34CCN(C)[C@@H]([C@@H]4C=C[C@@H]2OC(C)=O)C5)C3=C5C=C1)=O;5.14;CFSRE;Plants & extracts;5.04;5.32;5.13;5.30;4.95;5.15;0.16;0.01;Train;± 0.5 min
Diazepam;AAOVKJBEBIDNHE-UHFFFAOYSA-N;CN1C2=C(C(C3=CC=CC=C3)=NCC1=O)C=C(Cl)C=C2;8.12;CFSRE;Benzodiazepines;7.16;7.21;7.47;7.27;7.25;7.27;0.12;-0.85;Test;-1 to -0.5 min
Dibutylone;USEBIPUIVPERGC-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CC)N(C)C)=O;4.31;CFSRE;Cathinones;4.38;4.31;4.20;4.37;3.86;4.22;0.22;-0.09;Train;± 0.5 min
Dichloroethcathinone;BIYFBWRLDKOYMU-UHFFFAOYSA-N;CC(NCC)C(C1=CC=C(Cl)C(Cl)=C1)=O;5.83;CFSRE;Cathinones;5.80;5.59;5.93;5.80;5.44;5.72;0.19;-0.11;Validation;± 0.5 min
Diclazepam;VPAYQWRBBOGGPY-UHFFFAOYSA-N;CN1C2=C(C=C(C=C2)Cl)C(C3=C(Cl)C=CC=C3)=NCC1=O;8.21;CFSRE;Benzodiazepines;7.80;7.77;8.17;8.08;7.88;7.94;0.18;-0.27;Train;± 0.5 min
Didesmethylsibutramine;WQSACWZKKZPCHN-UHFFFAOYSA-N;CC(C)CC(N)C1(CCC1)C1=CC=C(Cl)C=C1;7.53;CFSRE;Unknown;8.03;7.36;8.05;7.78;8.29;7.90;0.35;0.37;Train;± 0.5 min
Diethylone;DWARVNWIBRHVMQ-UHFFFAOYSA-N;CC(N(CC)CC)C(C1=CC=C(OCO2)C2=C1)=O;4.29;CFSRE;Cathinones;4.58;4.41;4.34;4.49;4.03;4.37;0.21;0.08;Test;± 0.5 min
Diethylpentylone;CUPSLSIMIHCVIA-UHFFFAOYSA-N;CCCC(N(CC)CC)C(C1=CC=C(OCO2)C2=C1)=O;5.51;CFSRE;Cathinones;5.56;5.43;5.37;5.63;5.09;5.42;0.21;-0.09;Train;± 0.5 min
Dihydrocodeine;RBOXVHNMENFORY-DNJOTXNNSA-N;O[C@@H]1[C@@H]2OC3=C(OC)C=CC4=C3[C@@]2([C@H]5CC1)CCN(C)[C@@H]5C4;3.39;CFSRE;Opioids;3.44;3.56;3.37;3.40;3.55;3.46;0.09;0.07;Train;± 0.5 min
Dimethylone;OSNIIMCBVLBNGS-UHFFFAOYSA-N;CC(N(C)C)C(C1=CC=C(OCO2)C2=C1)=O;3.68;CFSRE;Cathinones;3.83;3.83;3.61;3.80;3.32;3.68;0.22;0.00;Test;± 0.5 min
Dipyanone;LJIUPFDRFKFNJE-UHFFFAOYSA-N;C1(=CC=CC=C1)C(C(CC)=O)(CC(C)N1CCCC1)C1=CC=CC=C1;7.5;CFSRE;Opioids;7.32;7.39;7.50;7.62;7.53;7.47;0.12;-0.03;Train;± 0.5 min
EAM-2201;NSCXPXDWLZORPX-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(CC)C=C1)C3=CN(CCCCCF)C4=C3C=CC=C4;10.18;CFSRE;Cannabinoids;10.50;10.20;10.53;10.47;10.25;10.39;0.15;0.21;Train;± 0.5 min
EDMB-PINACA;HKKKXLZFEZHHFC-GOSISDBHSA-N;O=C(N[C@H](C(OCC)=O)C(C)(C)C)C1=NN(CCCCC)C2=C1C=CC=C2;10.73;CFSRE;Cannabinoids;9.87;9.73;9.94;9.85;9.88;9.85;0.08;-0.88;Train;-1 to -0.5 min
EG-2201;LYDDINAZVHIBGP-UHFFFAOYSA-N;FCCCCCN1C2=CC=CC=C2C2=C1C=CC(=C2)C(=O)C1=CC=CC2=CC=CC=C12;10.74;CFSRE;Cannabinoids;10.66;10.27;10.52;10.68;10.40;10.51;0.18;-0.23;Train;± 0.5 min
EG018;FJMMDJDPNLZYLA-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=CC4=C(C=C3)N(CCCCC)C5=C4C=CC=C5;11.3;CFSRE;Cannabinoids;11.02;10.60;10.88;11.03;10.72;10.85;0.19;-0.45;Test;± 0.5 min
EMB-FUBINACA;YOECWCNJGHHTMN-IBGZPJMESA-N;CC(C)[C@@H](C(OCC)=O)NC(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O;9.77;CFSRE;Cannabinoids;9.74;9.69;9.62;9.68;9.73;9.69;0.05;-0.08;Train;± 0.5 min
ETH-LAD;MYNOUXJLOHVSMQ-DNVCBOLYSA-N;O=C([C@H](C=C12)CN(CC)[C@]2([H])CC3=CNC4=C3C1=CC=C4)N(CC)CC;5.81;CFSRE;Indolalkylamines;5.61;5.94;5.64;5.59;5.65;5.69;0.15;-0.12;Validation;± 0.5 min
Emetine;AUVVAXYIELKVAI-CKBKHPSWSA-N;[H][C@]1(C[C@@]2([H])C[C@]3([H])N(CCC4=CC(OC)=C(OC)C=C34)C[C@]2([H])CC)NCCC2=CC(OC)=C(OC)C=C12;4.5;CFSRE;Unknown;4.38;4.25;4.25;4.50;4.25;4.33;0.11;-0.17;Train;± 0.5 min
Ephedrine;KWGRBVOPPLSCSI-WPRPVWTQSA-N;C[C@H](NC)[C@@H](C1=CC=CC=C1)O;3.21;CFSRE;Phenethylamines;2.81;3.15;3.15;3.11;2.87;3.02;0.16;-0.19;Optimization;± 0.5 min
Estazolam;CDCHDCWJMGXXRH-UHFFFAOYSA-N;ClC=1C=CC2=C(C(=NCC=3N2C=NN3)C3=CC=CC=C3)C1;7.19;CFSRE;Benzodiazepines;7.26;6.84;7.06;7.07;7.18;7.08;0.16;-0.11;Optimization;± 0.5 min
Ethacathinone;LYMHIBZGTAPASQ-UHFFFAOYSA-N;CC(NCC)C(C1=CC=CC=C1)=O;3.54;CFSRE;Cathinones;3.63;3.67;3.65;3.83;3.56;3.67;0.10;0.13;Train;± 0.5 min
Ethoxyacetyl Fentanyl;FBHHANTXGLSYKL-UHFFFAOYSA-N;O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)COCC;6.05;CFSRE;Opioids;5.79;5.81;6.07;5.82;5.79;5.86;0.12;-0.19;Train;± 0.5 min
Ethylindole norfentanyl;KZRCNDCSHLUGKI-UHFFFAOYSA-N;O=C(CC)N(C1CCN(CCC2=CNC3=C2C=CC=C3)CC1)C4=CC=CC=C4;6.53;CFSRE;Opioids;6.26;6.52;6.49;6.53;6.46;6.45;0.11;-0.08;Train;± 0.5 min
Ethylone;MJEMIOXXNCZZFK-UHFFFAOYSA-N;CC(NCC)C(C1=CC=C(OCO2)C2=C1)=O;3.87;CFSRE;Cathinones;3.90;3.88;3.66;3.89;3.40;3.75;0.22;-0.12;Train;± 0.5 min
Ethylphenidate;AIVSIRYZIBXTMM-UHFFFAOYSA-N;CCOC(=O)C(C1CCCCN1)C2=CC=CC=C2;5.61;CFSRE;Piperidines & pyrrolidines;5.48;5.52;5.58;5.61;5.65;5.57;0.07;-0.04;Train;± 0.5 min
Eticyclidine;IFYLVUHLOOCYBG-UHFFFAOYSA-N;C(C)NC1(CCCCC1)C1=CC=CC=C1;5.71;CFSRE;Arylcyclohexylamines;5.76;5.56;5.56;5.70;5.66;5.65;0.09;-0.06;Train;± 0.5 min
Etilamfetamine;YAGBSNMZQKEFCO-UHFFFAOYSA-N;CC(NCC)CC1=CC=CC=C1;4.19;CFSRE;Phenethylamines;4.06;4.22;4.31;4.35;4.18;4.23;0.11;0.04;Train;± 0.5 min
