Compound Name,SMILES,RT,Adj. RT,Abs Error
Ethiofencarb-sulfone,CCS(=O)(=O)Cc1ccccc1OC(=O)NC,4.647,5.284,0.637
Lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,4.65,4.263,0.387
Cefamandole,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,4.657,4.729,0.072
Nalmefene,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,4.664,4.139,0.525
M-CPP (meta-Chlorophenylpiperazine),Clc1cccc(N2CCNCC2)c1,4.68,3.919,0.761
Meclofenoxate,CN(C)CCOC(=O)COc1ccc(Cl)cc1,4.68,5.41,0.73
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,4.681,5.019,0.338
N-acetyl-dapsone,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.685,6.359,1.674
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,4.708,6.029,1.321
O-CPP (O-Chlorophenylpiperazine),Clc1ccccc1N1CCNCC1,4.708,3.913,0.795
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,4.716,4.744,0.028
Benzoylecgonine,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,4.718,3.942,0.776
4-MTA,CSc1ccc(CC(C)N)cc1,4.736,3.785,0.951
P-CPP  (P-Chlorophenylpiperazine),Clc1ccc(N2CCNCC2)cc1,4.736,3.136,1.6
Carbimazole,CCOC(=O)n1ccn(C)c1=S,4.738,4.216,0.522
Carbendazim,COC(=O)Nc1nc2ccccc2[nH]1,4.741,4.394,0.347
Chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,4.744,4.787,0.043
Hydroxybupropion,CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1,4.768,5.722,0.954
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.769,5.295,0.526
TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1,4.773,3.569,1.204
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,4.775,6.404,1.629
Selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,4.776,3.784,0.992
Cafeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.797,3.654,1.143
Cefalotin,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,4.806,4.138,0.668
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,4.806,3.97,0.836
Dimethoate,CNC(=O)CSP(=S)(OC)OC,4.811,5.375,0.564
Mexiletine,Cc1cccc(C)c1OCC(C)N,4.812,4.939,0.127
Diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,4.815,4.814,0.001
Ethidimuron,CCS(=O)(=O)c1nnc(N(C)C(=O)NC)s1,4.818,4.416,0.402
Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,4.819,5.578,0.759
3-chloro-p-anisidine,COc1ccc(N)cc1Cl,4.819,4.046,0.773
Cefoperazone,CCN1CCN(C(=O)N[C@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,4.837,6.499,1.662
Tacrine,Nc1c2c(nc3ccccc13)CCCC2,4.843,6.154,1.311
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,4.844,4.397,0.447
Chlortalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,4.867,6.089,1.222
2C-B,COc1cc(CCN)c(OC)cc1Br,4.868,4.567,0.301
Pyrantel,CN1CCCN=C1/C=C/c1cccs1,4.87,4.222,0.648
2-CB,CCc1ccc(-c2ccc(C#N)cc2)cc1,4.871,5.823,0.952
"3,3'-Sulfonyldianiline",Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,4.873,4.697,0.176
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,4.883,5.343,0.46
4-chloroaniline,Nc1ccc(Cl)cc1,4.894,4.046,0.848
Aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,4.894,4.988,0.094
Mefenorex,CC(Cc1ccccc1)NCCCCl,4.907,4.034,0.873
"2,4-D (2,4-Dichlorophenoxyacetic acid)",O=C(O)COc1ccc(Cl)cc1Cl,4.917,5.281,0.364
Vamidothion,CNC(=O)C(C)SCCSP(=O)(OC)OC,4.949,5.65,0.701
Mephenesine,Cc1ccccc1OCC(O)CO,4.958,3.432,1.526
Cafedrine,C[C@H](NCCn1cnc2c1c(=O)n(C)c(=O)n2C)[C@H](O)c1ccccc1,4.959,6.207,1.248
Norketamine,NC1(c2ccccc2Cl)CCCCC1=O,4.963,5.732,0.769
Levobunolol,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,4.967,6.565,1.598
Methylclothiazide,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,4.968,4.663,0.305
Carbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,4.976,5.309,0.333
Ropivacaine,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.98,6.305,1.325
Ropivacaine Hydrochloride,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,4.986,6.305,1.319
Viloxazine,CCOc1ccccc1OCC1CNCCO1,4.993,5.257,0.264
"MDPBP (3',4'-methylenedioxy-a-pyrrolidinobutiophenone)",CCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1,4.996,5.98,0.984
Minoxidil,[H]/N=c1\nc(N2CCCCC2)cc(N)n1O,5.01,4.139,0.871
Guanfacine,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,5.027,4.772,0.255
Metamitron,Cc1nnc(-c2ccccc2)c(=O)n1N,5.033,5.528,0.495
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,5.041,3.593,1.448
Sulfadoxine,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,5.076,5.739,0.663
Valpromide,CCCC(CCC)C(N)=O,5.116,3.651,1.465
Tiemonium,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1,5.122,6.749,1.627
Naringin,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,5.123,4.854,0.269
PVP,CCCC(C(=O)c1ccccc1)N1CCCC1,5.126,5.787,0.661
MCPA,Cc1cc(Cl)ccc1OCC(=O)O,5.136,4.814,0.322
Rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,5.138,3.882,1.256
Methiocarb-sulfoxide,CNC(=O)Oc1cc(C)c(S(C)=O)c(C)c1,5.139,6.355,1.216
Ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,5.149,6.195,1.046
Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,5.152,4.896,0.256
Pethidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,5.152,5.769,0.617
Molsidomine,CCO/C([O-])=N/c1c[n+](N2CCOCC2)no1,5.161,3.699,1.462
Erythrohydrobupropion,CC(NC(C)(C)C)C(O)c1cccc(Cl)c1,5.168,5.695,0.527
Brallobarbital,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,5.17,3.374,1.796
Digoxigenin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,5.191,6.842,1.651
Heroin,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,5.197,4.71,0.487
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,5.2,6.276,1.076
Phenacetin,CCOc1ccc(NC(C)=O)cc1,5.2,4.71,0.49
Pheniramine,CN(C)CCC(c1ccccc1)c1ccccn1,5.215,5.567,0.352
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5.217,5.692,0.475
DOB,COc1cc(CC(C)N)c(OC)cc1Br,5.231,4.825,0.406
Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.235,6.065,0.83
Dehydronorketamine,NC1(c2ccccc2Cl)CCC=CC1=O,5.241,6.219,0.978
4-bromoaniline,Nc1ccc(Br)cc1,5.247,3.567,1.68
Fenozolone,CCNC1=NC(=O)C(c2ccccc2)O1,5.256,5.012,0.244
Geneserine salicylate,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)OC1N2C,5.258,5.536,0.278
Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,5.269,5.524,0.255
Imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,5.288,4.503,0.785
Mevinphos,COC(=O)/C=C(\C)OP(=O)(OC)OC,5.299,4.372,0.927
Niaprazine,CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,5.309,5.1,0.209
Ajmaline,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,5.309,4.259,1.05
DPP (Diphenylprolinol),OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,5.313,6.345,1.032
3-methyl-4-nitrophenol,Cc1cc(O)ccc1[N+](=O)[O-],5.315,4.455,0.86
Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,5.336,5.017,0.319
Threohydrobupropion,CC(NC(C)(C)C)C(O)c1cccc(Cl)c1,5.338,5.695,0.357
"2,6-dimethylaniline",Cc1cccc(C)c1N,5.339,3.989,1.35
4'-methyl-a-pyrrolidinobutiophenone,CCC(C(=O)c1ccc(C)cc1)N1CCCC1,5.344,5.547,0.203
Noralfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCNCC1,5.35,7.02,1.67
10-hydroxycarbamazepine,NC(=O)N1c2ccccc2CC(O)c2ccccc21,5.354,5.936,0.582
2-CI,COc1cc(CCN)c(OC)cc1I,5.356,4.008,1.348
Mebutamate,CCC(C)C(C)(COC(N)=O)COC(N)=O,5.356,4.285,1.071
Carbetamide,CCNC(=O)[C@@H](C)OC(=O)Nc1ccccc1,5.36,5.471,0.111
7-hydroxy-amoxapine,Oc1ccc2c(c1)Oc1ccc(Cl)cc1C(N1CCNCC1)=N2,5.361,7.085,1.724
Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O,5.363,4.911,0.452
2C-E,CCc1cc(OC)c(CCN)cc1OC,5.366,4.625,0.741
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.385,4.909,0.476
7-aminonitrazepam,Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,5.386,6.413,1.027
Harman,Cc1nccc2c1[nH]c1ccccc12,5.392,4.134,1.258
Etidocaine,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C,5.407,6.252,0.845
Aldicarb,CNC(=O)O/N=C/C(C)(C)SC,5.409,4.878,0.531
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,5.411,5.227,0.184
Yohimbine,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,5.419,5.189,0.23
Benzocaine,CCOC(=O)c1ccc(N)cc1,5.421,4.199,1.222
Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,5.43,4.157,1.273
Alfuzosine,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,5.435,5.578,0.143
7-aminoclonazepam,Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2,5.436,6.659,1.223
Nomifensine,CN1Cc2c(N)cccc2C(c2ccccc2)C1,5.439,5.726,0.287
Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,5.451,5.299,0.152
Levallorphan,C=CCN1CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(O)cc13,5.455,5.315,0.14
Methiocarb-sulfone,CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1,5.468,6.284,0.816
Proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,5.471,4.843,0.628
Clopamide,CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,5.474,5.106,0.368
Dichlorprop,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,5.475,5.856,0.381
1-(3-chloro-4-methylphenyl)urea,Cc1ccc(NC(N)=O)cc1Cl,5.477,4.287,1.19
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,5.479,6.096,0.617
Fenethylline,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,5.481,6.311,0.83
Norcocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2,5.496,4.413,1.083
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,5.499,5.593,0.094
Thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1,5.501,4.51,0.991
Althiazide,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,5.505,5.945,0.44
Ethoheptazine,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,5.511,6.248,0.737
Benzylthiouracyle,O=c1cc(Cc2ccccc2)[nH]c(=S)[nH]1,5.529,4.152,1.377
Methoxetamine,CCNC1(c2cccc(OC)c2)CCCCC1=O,5.533,6.812,1.279
"DMPF ( 2,5-Dimethyl-4-(1-pyrrolidinyl)-3(2H)-furanone)",CC1=C(N2CCCC2)C(=O)C(C)O1,5.535,4.213,1.322
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5.539,5.732,0.193
Metolcarb,CNC(=O)Oc1cccc(C)c1,5.541,5.034,0.507
Laudanosine,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1OC,5.567,3.865,1.702
Bupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,5.57,6.062,0.492
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,5.57,5.564,0.006
Oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,5.575,5.017,0.558
DCPU,NC(=O)Nc1cc(Cl)cc(Cl)c1,5.586,5.25,0.336
"3,4-Methylenedioxypyrovalerone",CCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1,5.588,6.209,0.621
"1-(3,4-dichlorophenyl)-urea",NC(=O)Nc1ccc(Cl)c(Cl)c1,5.593,4.834,0.759
Bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,5.597,4.812,0.785
Benzyladenine,c1ccc(CNc2ncnc3[nH]cnc23)cc1,5.615,4.242,1.373
Pentazocine,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,5.617,5.385,0.232
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,5.618,6.038,0.42
Nadoxolol,N/C(CC(O)COc1cccc2ccccc12)=N\O,5.622,4.889,0.733
Metipranolol,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,5.635,6.615,0.98
Azacyclonol,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,5.638,6.265,0.627
"2,4,5-T",O=C(O)COc1cc(Cl)c(Cl)cc1Cl,5.638,6.142,0.504
Milnacipran,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,5.641,5.389,0.252
Moxisylyte,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,5.653,6.646,0.993
Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.657,5.003,0.654
Ethenzamide,CCOc1ccccc1C(N)=O,5.689,4.219,1.47
Nor-LSD_Nor-iso-LSD,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,5.689,5.239,0.45
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,5.698,5.931,0.233
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,5.704,5.415,0.289
Triclopyr,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,5.708,6.031,0.323
Milrinone,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,5.71,5.12,0.59
Toloxatone,Cc1cccc(N2CC(CO)OC2=O)c1,5.72,4.951,0.769
Mecoprop,Cc1cc(Cl)ccc1OC(C)C(=O)O,5.726,5.218,0.508
Desmethylmirtazapine,c1ccc2c(c1)Cc1cccnc1N1CCNCC21,5.727,5.046,0.681
Tenoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,5.731,5.574,0.157
Simazine,CCNc1nc(Cl)nc(NCC)n1,5.732,6.191,0.459
Alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,5.733,5.299,0.434
Piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,5.739,5.421,0.318
4-chloro-2-methylaniline,Cc1cc(Cl)ccc1N,5.741,4.928,0.813
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,5.748,4.172,1.576
Bisantrene,C(=N\NC1=NCCN1)/c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,5.748,5.785,0.037
Cyanazine,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,5.76,7.261,1.501
Prolintane,CCCC(Cc1ccccc1)N1CCCC1,5.772,5.469,0.303
Acetamiprid,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,5.78,4.958,0.822
Salazopyrine,O=C(O)C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,5.782,6.946,1.164
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,5.784,3.952,1.832
Mezlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,5.798,4.221,1.577
Butorphanol,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,5.8,5.679,0.121
Doxylamine,CN(C)CCO[C@](C)(c1ccccc1)c1ccccn1,5.81,6.445,0.635
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,5.815,5.434,0.381
Hydroxyhaloperidol,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,5.816,6.746,0.93
3-chloro-4-methylaniline,Cc1ccc(N)cc1Cl,5.829,4.065,1.764
Digoxigenin monodigitoxoside,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O,5.833,6.949,1.116
Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5.838,6.568,0.73
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,5.838,7.393,1.555
Mephenytoin,CCC1(c2ccccc2)NC(=O)N(C)C1=O,5.85,4.841,1.009
4-isopropylaniline,CC(C)c1ccc(N)cc1,5.863,4.123,1.74
Pirimicarb-desmethyl,CNc1nc(C)c(C)c(OC(=O)N(C)C)n1,5.871,5.832,0.039
Benzthiazuron,CNC(=O)Nc1nc2ccccc2s1,5.871,4.608,1.263
Dexchlorpheniramine,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,5.877,6.568,0.691
Cocaethylene,CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,5.9,5.949,0.049
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,5.907,5.713,0.194
Carbinoxamine,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,5.91,6.986,1.076
Amobarbital,CCC1(CCC(C)C)C(=O)N=C(O)NC1=O,5.912,4.37,1.542
Cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,5.915,5.684,0.231
Vinylbital,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,5.928,4.518,1.41
LSD,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,5.935,6.284,0.349
Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,5.942,5.378,0.564
Fencamfamine,CCNC1C2CCC(C2)C1c1ccccc1,5.944,4.476,1.468
Cicloprolol,CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1,5.946,5.601,0.345
Tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,5.959,5.567,0.392
Oxomemazine,CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21,5.962,7.513,1.551
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,5.97,5.358,0.612
Clindamycine,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,5.997,4.487,1.51
Coumarine,O=c1ccc2ccccc2o1,6.004,5.331,0.673
"3,5,6-trichloro-2-pyridinol",Oc1nc(Cl)c(Cl)cc1Cl,6.008,5.109,0.899
Diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,6.015,4.921,1.094
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,6.018,4.335,1.683
Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,6.021,4.874,1.147
Xipamide,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,6.038,6.419,0.381
Chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,6.054,5.807,0.247
Ibogaine,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13,6.08,5.804,0.276
Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,6.083,5.785,0.298
Bupranolol,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,6.083,6.291,0.208
Pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,6.09,6.34,0.25
Vincamine,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,6.101,6.497,0.396
Cloxacilline,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,6.104,7.006,0.902
Desmethylcitalopram,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.111,6.861,0.75
7-aminoflunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,6.117,6.754,0.637
Cyclothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,6.121,4.872,1.249
Bamifyline,CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,6.122,5.998,0.124
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,6.122,5.491,0.631
Benzphetamine,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,6.131,5.575,0.556
Crimidine,Cc1cc(N(C)C)nc(Cl)n1,6.134,5.089,1.045
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,6.136,5.178,0.958
3-Hydroxybromazepam,O=C1Nc2ccc(Br)cc2C(c2ccccn2)=NC1O,6.151,6.233,0.082
Nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,6.153,6.941,0.788
Medifoxamine,CN(C)CC(Oc1ccccc1)Oc1ccccc1,6.155,7.194,1.039
Brompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,6.158,6.314,0.156
Norclozapine,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,6.158,6.547,0.389
Strychnine,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,6.166,5.326,0.84
Phosphamidon,CCN(CC)C(=O)/C(Cl)=C(\C)OP(=O)(OC)OC,6.169,6.816,0.647
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,6.173,7.923,1.75
Chlorprepamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.182,5.712,0.47
Bendiocarb,CNC(=O)Oc1cccc2c1OC(C)(C)O2,6.191,5.641,0.55
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.2,7.1,0.9
Iso LSD,CCN(CC)C(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.214,6.284,0.07
Tienilic acid,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,6.216,6.73,0.514
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,6.221,5.637,0.584
Paraoxon methyl,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,6.235,6.503,0.268
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,6.237,6.549,0.312
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,6.245,6.012,0.233
Adrafinil,O=C(CS(=O)C(c1ccccc1)c1ccccc1)NO,6.251,5.278,0.973
DMST,Cc1ccc(NS(=O)(=O)N(C)C)cc1,6.251,4.399,1.852
Betamethasone-21-phosphate,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,6.254,8.04,1.786
Zopiclone,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,6.27,6.544,0.274
Etacrynic acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,6.276,6.691,0.415
10-11-epoxycarbamazepine,NC(=O)N1c2ccccc2C2OC2c2ccccc21,6.286,5.122,1.164
Bromo-Dragonfly,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12,6.3,5.546,0.754
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,6.305,5.693,0.612
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,6.314,5.427,0.887
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6.32,6.093,0.227
Lisuride,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.321,6.638,0.317
