Compound Name,SMILES,RT,Adj. RT,Abs Error
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,3.247,2.968,0.279
6-chloronicotinic acid,O=C(O)c1ccc(Cl)nc1,3.249,3.562,0.313
Norephedrine,CCC(N)(O)c1ccccc1,3.254,3.62,0.366
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,3.255,3.03,0.225
Salicylic acid,O=C(O)c1ccccc1O,3.273,3.086,0.187
Norpseudoephedrine,C[C@@H](N)[C@H](O)c1ccccc1,3.275,2.857,0.418
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.282,3.239,0.043
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.291,4.078,0.787
Methomyl-oxime,CONC(C)=S,3.326,1.79,1.536
Anhydroecgonine methyl ester,COC(=O)C1=CC[C@@H]2CC[C@H]1N2C,3.342,2.999,0.343
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,3.354,2.768,0.586
Procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,3.355,4.039,0.684
L-abrine,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,3.357,3.565,0.208
Procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.362,3.345,0.017
Propamocarb,CCCOC(=O)NCCCN(C)C,3.373,3.392,0.019
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3.374,3.754,0.38
Amiloride,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,3.379,2.578,0.801
Gabapentine,NCC1(CC(=O)O)CCCCC1,3.382,2.751,0.631
Cimetidine,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,3.383,4.015,0.632
3-acetamidophenol,CC(=O)Nc1cccc(O)c1,3.385,3.146,0.239
Omethoate,CNC(=O)CSP(=O)(OC)OC,3.395,3.845,0.45
Cefepime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,3.395,4.69,1.295
Didanosine,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,3.396,3.211,0.185
Emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,3.401,2.645,0.756
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,3.439,4.355,0.916
1-Methyl-3-phenylpiperazine,CN1CCNC(c2ccccc2)C1,3.444,3.216,0.228
Psilocine,CN(C)CCc1c[nH]c2cccc(O)c12,3.446,4.144,0.698
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,3.448,3.144,0.304
Bamethan,CCCCNCC(O)c1ccc(O)cc1,3.459,3.652,0.193
Sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,3.466,3.897,0.431
Pilocarpine,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,3.473,4.585,1.112
Cathinone,C[C@H](N)C(=O)c1ccccc1,3.479,3.393,0.086
Cefatrizine,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,3.482,3.826,0.344
Fenoterol,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3.488,4.805,1.317
Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,3.489,2.519,0.97
Ceftizoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,3.49,3.87,0.38
Thiocyclam,CN(C)C1CSSSC1,3.493,2.663,0.83
Dinotefuran,CNC(=N[N+](=O)[O-])NCC1CCOC1,3.494,3.268,0.226
Baclofene,NCC(CC(=O)O)c1ccc(Cl)cc1,3.494,4.213,0.719
Aniline,Nc1ccccc1,3.505,2.791,0.714
Pholcodine,CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.521,4.474,0.953
Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1,3.523,3.065,0.458
Ritodrine,C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,3.525,3.61,0.085
Cefotetan,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,3.529,5.066,1.537
Asulam,COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.534,4.01,0.476
