Compound Name,SMILES,RT (min)
Ropivacaine,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.98
Ropivacaine Hydrochloride,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,4.986
Viloxazine,CCOc1ccccc1OCC1CNCCO1,4.993
"MDPBP (3',4'-methylenedioxy-a-pyrrolidinobutiophenone)",CCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1,4.996
Minoxidil,[H]/N=c1\nc(N2CCCCC2)cc(N)n1O,5.01
Guanfacine,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,5.027
Metamitron,Cc1nnc(-c2ccccc2)c(=O)n1N,5.033
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,5.041
Sulfadoxine,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,5.076
Valpromide,CCCC(CCC)C(N)=O,5.116
Tiemonium,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1,5.122
Naringin,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,5.123
PVP,CCCC(C(=O)c1ccccc1)N1CCCC1,5.126
MCPA,Cc1cc(Cl)ccc1OCC(=O)O,5.136
Rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,5.138
Methiocarb-sulfoxide,CNC(=O)Oc1cc(C)c(S(C)=O)c(C)c1,5.139
Ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,5.149
Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,5.152
Pethidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,5.152
Molsidomine,CCO/C([O-])=N/c1c[n+](N2CCOCC2)no1,5.161
Erythrohydrobupropion,CC(NC(C)(C)C)C(O)c1cccc(Cl)c1,5.168
Brallobarbital,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,5.17
Digoxigenin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,5.191
Heroin,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,5.197
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,5.2
Phenacetin,CCOc1ccc(NC(C)=O)cc1,5.2
Pheniramine,CN(C)CCC(c1ccccc1)c1ccccn1,5.215
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5.217
DOB,COc1cc(CC(C)N)c(OC)cc1Br,5.231
Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.235
Dehydronorketamine,NC1(c2ccccc2Cl)CCC=CC1=O,5.241
4-bromoaniline,Nc1ccc(Br)cc1,5.247
Fenozolone,CCNC1=NC(=O)C(c2ccccc2)O1,5.256
Geneserine salicylate,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)OC1N2C,5.258
Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,5.269
Imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,5.288
Mevinphos,COC(=O)/C=C(\C)OP(=O)(OC)OC,5.299
Niaprazine,CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,5.309
Ajmaline,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,5.309
DPP (Diphenylprolinol),OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,5.313
3-methyl-4-nitrophenol,Cc1cc(O)ccc1[N+](=O)[O-],5.315
Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,5.336
Threohydrobupropion,CC(NC(C)(C)C)C(O)c1cccc(Cl)c1,5.338
"2,6-dimethylaniline",Cc1cccc(C)c1N,5.339
4'-methyl-a-pyrrolidinobutiophenone,CCC(C(=O)c1ccc(C)cc1)N1CCCC1,5.344
Noralfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCNCC1,5.35
10-hydroxycarbamazepine,NC(=O)N1c2ccccc2CC(O)c2ccccc21,5.354
2-CI,COc1cc(CCN)c(OC)cc1I,5.356
Mebutamate,CCC(C)C(C)(COC(N)=O)COC(N)=O,5.356
Carbetamide,CCNC(=O)[C@@H](C)OC(=O)Nc1ccccc1,5.36
7-hydroxy-amoxapine,Oc1ccc2c(c1)Oc1ccc(Cl)cc1C(N1CCNCC1)=N2,5.361
Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O,5.363
2C-E,CCc1cc(OC)c(CCN)cc1OC,5.366
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.385
7-aminonitrazepam,Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,5.386
Harman,Cc1nccc2c1[nH]c1ccccc12,5.392
Etidocaine,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C,5.407
Aldicarb,CNC(=O)O/N=C/C(C)(C)SC,5.409
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,5.411
Yohimbine,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,5.419
Benzocaine,CCOC(=O)c1ccc(N)cc1,5.421
Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,5.43
Alfuzosine,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,5.435
7-aminoclonazepam,Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2,5.436
Nomifensine,CN1Cc2c(N)cccc2C(c2ccccc2)C1,5.439
Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,5.451
Levallorphan,C=CCN1CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(O)cc13,5.455
Methiocarb-sulfone,CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1,5.468
Proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,5.471
Clopamide,CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,5.474
Dichlorprop,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,5.475
1-(3-chloro-4-methylphenyl)urea,Cc1ccc(NC(N)=O)cc1Cl,5.477
Buflomedil,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,5.479
Fenethylline,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,5.481
Norcocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2,5.496
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,5.499
Thiabendazole,c1ccc2[nH]c(-c3cscn3)nc2c1,5.501
Althiazide,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,5.505
Ethoheptazine,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,5.511
Benzylthiouracyle,O=c1cc(Cc2ccccc2)[nH]c(=S)[nH]1,5.529
Methoxetamine,CCNC1(c2cccc(OC)c2)CCCCC1=O,5.533
"DMPF ( 2,5-Dimethyl-4-(1-pyrrolidinyl)-3(2H)-furanone)",CC1=C(N2CCCC2)C(=O)C(C)O1,5.535
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5.539
Metolcarb,CNC(=O)Oc1cccc(C)c1,5.541
Laudanosine,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1OC,5.567
Bupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,5.57
Metoxuron,COc1ccc(NC(=O)N(C)C)cc1Cl,5.57
Oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,5.575
DCPU,NC(=O)Nc1cc(Cl)cc(Cl)c1,5.586
"3,4-Methylenedioxypyrovalerone",CCCC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1,5.588
"1-(3,4-dichlorophenyl)-urea",NC(=O)Nc1ccc(Cl)c(Cl)c1,5.593
Bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,5.597
Benzyladenine,c1ccc(CNc2ncnc3[nH]cnc23)cc1,5.615
Pentazocine,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,5.617
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,5.618
Nadoxolol,N/C(CC(O)COc1cccc2ccccc12)=N\O,5.622
Metipranolol,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,5.635
Azacyclonol,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,5.638
"2,4,5-T",O=C(O)COc1cc(Cl)c(Cl)cc1Cl,5.638
Milnacipran,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,5.641
Moxisylyte,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,5.653
Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.657
Ethenzamide,CCOc1ccccc1C(N)=O,5.689
Nor-LSD_Nor-iso-LSD,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,5.689
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,5.698
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,5.704
Triclopyr,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,5.708
Milrinone,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,5.71
Toloxatone,Cc1cccc(N2CC(CO)OC2=O)c1,5.72
Mecoprop,Cc1cc(Cl)ccc1OC(C)C(=O)O,5.726
Desmethylmirtazapine,c1ccc2c(c1)Cc1cccnc1N1CCNCC21,5.727
Tenoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,5.731
Simazine,CCNc1nc(Cl)nc(NCC)n1,5.732
Alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,5.733
Piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,5.739
4-chloro-2-methylaniline,Cc1cc(Cl)ccc1N,5.741
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,5.748
Bisantrene,C(=N\NC1=NCCN1)/c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,5.748
Cyanazine,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,5.76
Prolintane,CCCC(Cc1ccccc1)N1CCCC1,5.772
Acetamiprid,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,5.78
Salazopyrine,O=C(O)C1=C/C(=N/Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,5.782
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,5.784
Mezlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,5.798
Butorphanol,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,5.8
Doxylamine,CN(C)CCO[C@](C)(c1ccccc1)c1ccccn1,5.81
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,5.815
Hydroxyhaloperidol,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,5.816
3-chloro-4-methylaniline,Cc1ccc(N)cc1Cl,5.829
Digoxigenin monodigitoxoside,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O,5.833
Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5.838
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,5.838
Mephenytoin,CCC1(c2ccccc2)NC(=O)N(C)C1=O,5.85
4-isopropylaniline,CC(C)c1ccc(N)cc1,5.863
Pirimicarb-desmethyl,CNc1nc(C)c(C)c(OC(=O)N(C)C)n1,5.871
Benzthiazuron,CNC(=O)Nc1nc2ccccc2s1,5.871
Dexchlorpheniramine,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,5.877
Cocaethylene,CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,5.9
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,5.907
Carbinoxamine,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,5.91
Amobarbital,CCC1(CCC(C)C)C(=O)N=C(O)NC1=O,5.912
Cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,5.915
Vinylbital,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,5.928
LSD,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,5.935
Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,5.942
Fencamfamine,CCNC1C2CCC(C2)C1c1ccccc1,5.944
Cicloprolol,CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1,5.946
Tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,5.959
Oxomemazine,CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21,5.962
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,5.97
Clindamycine,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,5.997
Coumarine,O=c1ccc2ccccc2o1,6.004
"3,5,6-trichloro-2-pyridinol",Oc1nc(Cl)c(Cl)cc1Cl,6.008
Diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,6.015
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,6.018
Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,6.021
Xipamide,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,6.038
Chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,6.054
Ibogaine,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13,6.08
Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,6.083
Bupranolol,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,6.083
Pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,6.09
Vincamine,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,6.101
Cloxacilline,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,6.104
Desmethylcitalopram,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.111
7-aminoflunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,6.117
Cyclothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,6.121
Bamifyline,CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,6.122
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,6.122
Benzphetamine,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,6.131
Crimidine,Cc1cc(N(C)C)nc(Cl)n1,6.134
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,6.136
3-Hydroxybromazepam,O=C1Nc2ccc(Br)cc2C(c2ccccn2)=NC1O,6.151
Nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,6.153
Medifoxamine,CN(C)CC(Oc1ccccc1)Oc1ccccc1,6.155
Brompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,6.158
Norclozapine,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,6.158
Strychnine,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,6.166
Phosphamidon,CCN(CC)C(=O)/C(Cl)=C(\C)OP(=O)(OC)OC,6.169
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,6.173
Chlorprepamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.182
Bendiocarb,CNC(=O)Oc1cccc2c1OC(C)(C)O2,6.191
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.2
Iso LSD,CCN(CC)C(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.214
Tienilic acid,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,6.216
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,6.221
Paraoxon methyl,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,6.235
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,6.237
Monolinuron,CON(C)C(=O)Nc1ccc(Cl)cc1,6.245
Adrafinil,O=C(CS(=O)C(c1ccccc1)c1ccccc1)NO,6.251
DMST,Cc1ccc(NS(=O)(=O)N(C)C)cc1,6.251
Betamethasone-21-phosphate,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,6.254
Zopiclone,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,6.27
Etacrynic acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,6.276
10-11-epoxycarbamazepine,NC(=O)N1c2ccccc2C2OC2c2ccccc21,6.286
Bromo-Dragonfly,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12,6.3
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,6.305
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,6.314
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6.32
Lisuride,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.321
Quinine,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,6.323
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,6.326
Spirotetramat-mono-hydroxy,CO[C@H]1CC[C@]2(CC1)NC(=O)C(c1cc(C)ccc1C)C2O,6.328
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,6.333
Mefloquine,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,6.335
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,6.337
Propham,CC(C)OC(=O)Nc1ccccc1,6.354
1-naphtyl acetic acid,O=C(O)Cc1cccc2ccccc12,6.368
Valone,CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,6.379
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,6.382
Cymiazole,Cc1ccc(/N=c2\sccn2C)c(C)c1,6.388
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.389
Heptabarbital,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,6.399
Zolazepam,Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,6.419
PCMPA (N-(3-methoxypropyl)-1-phenyl-cyclohexanamine),COCCCNC1(c2ccccc2)CCCCC1,6.425
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,6.433
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,6.438
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,6.44
Convallatoxin,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,6.443
Nifoxipam,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2F)=NC1O,6.445
Strophanthidin,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,6.448
Norfluoxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.466
Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,6.471
Piribedil,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,6.475
Quinidine,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,6.488
Trifluorperidol,O=C(CCC(F)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1,6.491
Fenamiphos-sulfoxyde,CCOP(=O)(NC(C)C)Oc1ccc(S(C)=O)c(C)c1,6.493
Fotemustine,CCOP(=O)(OCC)C(C)NC(=O)N(CCCl)N=O,6.496
Thiacloprid,N#C/N=C1/SCCN1Cc1ccc(Cl)nc1,6.5
Desmethylmianserin,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,6.514
Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,6.516
Carbaryl,CNC(=O)Oc1cccc2ccccc12,6.527
Spirotetramat-enol,CO[C@H]1CC[C@]2(CC1)NC(=O)C(c1cc(C)ccc1C)=C2O,6.531
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.538
CDEPA,CCc1cccc(CC)c1NC(=O)CCl,6.54
Desacetyldiltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2O)cc1,6.544
Carbocromen,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,6.554
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,6.558
Doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,6.561
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.57
Scoparone,COc1cc2ccc(=O)oc2cc1OC,6.588
PCEEA (N-(2-ethoxyethyl)-1-phenylcyclohexanamine),CCOCCNC1(c2ccccc2)CCCCC1,6.589
Benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,6.589
Azatadine,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,6.603
Dicoumarol,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,6.619
Fenamiphos-sulfone,CCOP(=O)(NC(C)C)Oc1ccc(S(C)(=O)=O)c(C)c1,6.624
Mepyramine,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,6.626
Demeton-s-methyl,CCSCCSP(=O)(OC)OC,6.641
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.646
Clobenzorex,CC(Cc1ccccc1)NCc1ccccc1Cl,6.649
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,6.671
Metopimazine,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,6.704
Erythromycine,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,6.711
Zipeprol,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,6.712
Desmetryn,CNc1nc(NC(C)C)nc(SC)n1,6.72
Ethiofencarb,CCSCc1ccccc1OC(=O)NC,6.721
Niflumic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,6.73
Fluindione,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1,6.731
Coumafuryl,CC(=O)CC(c1ccco1)c1c(O)c2ccccc2oc1=O,6.742
Cicletanine,Cc1ncc2c(c1O)CO[C@@H]2c1ccc(Cl)cc1,6.748
Phenyltoloxamine,CN(C)CCOc1ccccc1Cc1ccccc1,6.751
Metsulfuron-methyl,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,6.76
Malaoxon,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,6.761
Hydroquinidine,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,6.791
Thiophanate-methyl,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,6.795
Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,6.797
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,6.807
Digoxigenine-bis-digitoxoside,CC1OC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)CC(O)C1O,6.82
Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,6.832
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6.839
Tertatolol,CC(C)(C)NCC(O)COc1cccc2c1SCCC2,6.858
Retigabine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,6.864
Tauroursodeoxycholic acid,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6.87
Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,6.874
Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,6.883
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,6.885
Flurazepam,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,6.898
Phencyclidine,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,6.906
Dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,6.913
Florasulam,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,6.915
"DEA (2,6-diethylaniline)",CCc1cccc(CC)c1N,6.934
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,6.938
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,6.953
